fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name,result
711330,1629637200,597,Lokomotiv Moscow,2,1,621,Krasnodar,Home
711331,1629550800,1077,Arsenal Tula,1,1,558,Spartak Moscow,Draw
711332,1629644400,2011,Nizhny Novgorod,1,2,779,FC Rostov,Away
711333,1629558000,1078,FC UFA,1,1,596,Zenit Saint Petersburg,Draw
711334,1629558000,1084,Ural,0,1,1088,Dinamo Moscow,Away
711335,1629651600,1994,Khimki,1,1,1083,Rubin,Draw
711336,1629999900,596,Zenit Saint Petersburg,1,0,555,CSKA Moscow,Home
711337,1629991800,558,Spartak Moscow,1,2,2012,PFC Sochi,Away
711338,1630085400,621,Krasnodar,2,0,1083,Rubin,Home
711339,1630080000,1088,Dinamo Moscow,1,1,597,Lokomotiv Moscow,Draw
711340,1629999000,1085,Akhmat Grozny,2,1,1077,Arsenal Tula,Home
711341,1629984600,1078,FC UFA,1,2,1079,Krylya Sovetov,Away
711342,1630071000,1084,Ural,1,1,779,FC Rostov,Draw
711343,1630078200,1994,Khimki,1,1,2011,Nizhny Novgorod,Draw
711344,1631367000,596,Zenit Saint Petersburg,3,1,1085,Akhmat Grozny,Home
711345,1631376000,558,Spartak Moscow,3,1,1994,Khimki,Home
711346,1631550600,779,FC Rostov,1,1,621,Krasnodar,Draw
711347,1631462400,1088,Dinamo Moscow,1,2,2011,Nizhny Novgorod,Away
711348,1631358000,597,Lokomotiv Moscow,2,0,1079,Krylya Sovetov,Home
711349,1631453400,2012,PFC Sochi,3,1,1078,FC UFA,Home
711350,1631547000,1083,Rubin,4,0,1084,Ural,Home
711351,1631444400,1077,Arsenal Tula,2,2,555,CSKA Moscow,Draw
711352,1631971800,1079,Krylya Sovetov,4,2,779,FC Rostov,Home
711353,1632155400,555,CSKA Moscow,1,0,558,Spartak Moscow,Home
711354,1631980800,1085,Akhmat Grozny,0,2,621,Krasnodar,Away
711355,1632067200,2012,PFC Sochi,0,1,1088,Dinamo Moscow,Away
711356,1632151800,1083,Rubin,1,3,596,Zenit Saint Petersburg,Away
711357,1632058200,2011,Nizhny Novgorod,2,3,1077,Arsenal Tula,Away
711358,1631962800,1078,FC UFA,3,2,1994,Khimki,Home
711359,1632144600,1084,Ural,0,0,597,Lokomotiv Moscow,Draw
711360,1632576600,596,Zenit Saint Petersburg,2,1,1079,Krylya Sovetov,Home
711361,1632585600,558,Spartak Moscow,2,0,1078,FC UFA,Home
711362,1632663000,779,FC Rostov,1,2,1085,Akhmat Grozny,Away
711363,1632672000,621,Krasnodar,3,0,2012,PFC Sochi,Home
711364,1632654000,1088,Dinamo Moscow,2,0,1083,Rubin,Home
711365,1632758400,2011,Nizhny Novgorod,0,2,555,CSKA Moscow,Away
711366,1632751200,1084,Ural,2,0,1077,Arsenal Tula,Home
711367,1632567600,1994,Khimki,0,0,597,Lokomotiv Moscow,Draw
711368,1633267800,596,Zenit Saint Petersburg,1,2,2012,PFC Sochi,Away
711369,1633190400,555,CSKA Moscow,0,0,621,Krasnodar,Draw
711370,1633181400,1088,Dinamo Moscow,0,1,1079,Krylya Sovetov,Away
711371,1633276800,597,Lokomotiv Moscow,1,2,779,FC Rostov,Away
711372,1633276800,1085,Akhmat Grozny,0,1,558,Spartak Moscow,Away
711373,1633172400,1083,Rubin,0,1,2011,Nizhny Novgorod,Away
711374,1633190400,1077,Arsenal Tula,0,0,1994,Khimki,Draw
711375,1633258800,1078,FC UFA,0,1,1084,Ural,Away
711376,1634400000,558,Spartak Moscow,2,2,1088,Dinamo Moscow,Draw
711377,1634486400,621,Krasnodar,1,1,1078,FC UFA,Draw
711378,1634477400,1079,Krylya Sovetov,2,0,2011,Nizhny Novgorod,Home
711379,1634400000,2012,PFC Sochi,3,2,779,FC Rostov,Home
711380,1634391000,1083,Rubin,2,2,597,Lokomotiv Moscow,Draw
711381,1634382000,1077,Arsenal Tula,2,1,596,Zenit Saint Petersburg,Home
711382,1634468400,1084,Ural,0,1,555,CSKA Moscow,Away
711383,1634477400,1994,Khimki,2,0,1085,Akhmat Grozny,Home
711384,1635091200,596,Zenit Saint Petersburg,7,1,558,Spartak Moscow,Home
711385,1634995800,779,FC Rostov,4,0,1077,Arsenal Tula,Home
711386,1635004800,555,CSKA Moscow,3,1,1079,Krylya Sovetov,Home
711387,1634918400,1088,Dinamo Moscow,4,1,1994,Khimki,Home
711388,1635177600,597,Lokomotiv Moscow,2,1,2012,PFC Sochi,Home
711389,1635082200,1085,Akhmat Grozny,1,0,1084,Ural,Home
711390,1634986800,2011,Nizhny Novgorod,1,4,621,Krasnodar,Away
711391,1635073200,1078,FC UFA,1,1,1083,Rubin,Draw
711392,1635523200,596,Zenit Saint Petersburg,4,1,1088,Dinamo Moscow,Home
711393,1635600600,558,Spartak Moscow,1,1,779,FC Rostov,Draw
711394,1635609600,621,Krasnodar,0,1,1079,Krylya Sovetov,Away
711395,1635591600,1083,Rubin,1,0,555,CSKA Moscow,Home
711396,1635687000,1077,Arsenal Tula,1,2,2012,PFC Sochi,Away
711397,1635609600,2011,Nizhny Novgorod,1,2,597,Lokomotiv Moscow,Away
711398,1635678000,1078,FC UFA,1,0,1085,Akhmat Grozny,Home
711399,1635696000,1994,Khimki,0,0,1084,Ural,Draw
711400,1636300800,558,Spartak Moscow,1,1,597,Lokomotiv Moscow,Draw
711401,1636291800,779,FC Rostov,5,1,1083,Rubin,Home
711402,1636205400,1079,Krylya Sovetov,3,0,1994,Khimki,Home
711403,1636205400,1088,Dinamo Moscow,1,0,621,Krasnodar,Home
711404,1636300800,1085,Akhmat Grozny,3,1,2011,Nizhny Novgorod,Home
711405,1636214400,2012,PFC Sochi,4,1,555,CSKA Moscow,Home
711406,1636196400,1077,Arsenal Tula,0,0,1078,FC UFA,Draw
711407,1636282800,1084,Ural,0,0,596,Zenit Saint Petersburg,Draw
711408,1637337600,596,Zenit Saint Petersburg,5,1,2011,Nizhny Novgorod,Home
711409,1637492400,779,FC Rostov,2,2,1078,FC UFA,Draw
711410,1637424000,621,Krasnodar,2,1,558,Spartak Moscow,Home
711411,1637406000,1079,Krylya Sovetov,1,1,1084,Ural,Draw
711412,1637492400,555,CSKA Moscow,0,0,1994,Khimki,Draw
711413,1637501400,1088,Dinamo Moscow,5,1,1077,Arsenal Tula,Home
711414,1637415000,597,Lokomotiv Moscow,1,2,1085,Akhmat Grozny,Away
711415,1637512200,2012,PFC Sochi,1,2,1083,Rubin,Away
711416,1638118800,555,CSKA Moscow,0,2,596,Zenit Saint Petersburg,Away
711417,1638019800,1085,Akhmat Grozny,2,0,779,FC Rostov,Home
711418,1638106200,1083,Rubin,2,3,1088,Dinamo Moscow,Away
711419,1638201600,1077,Arsenal Tula,3,1,597,Lokomotiv Moscow,Home
711420,1638097200,2011,Nizhny Novgorod,0,0,1079,Krylya Sovetov,Draw
711421,1638194400,1078,FC UFA,1,1,558,Spartak Moscow,Draw
711422,1638010800,1084,Ural,1,1,2012,PFC Sochi,Draw
711423,1638028800,1994,Khimki,3,3,621,Krasnodar,Draw
711424,1638547200,596,Zenit Saint Petersburg,2,2,779,FC Rostov,Draw
711425,1638626400,558,Spartak Moscow,2,1,1085,Akhmat Grozny,Home
711426,1638615600,1079,Krylya Sovetov,0,1,555,CSKA Moscow,Away
711427,1638711000,1088,Dinamo Moscow,2,0,1078,FC UFA,Home
711428,1638633600,597,Lokomotiv Moscow,0,1,1084,Ural,Away
711429,1638720000,2012,PFC Sochi,1,2,621,Krasnodar,Away
711430,1638711000,2011,Nizhny Novgorod,2,1,1083,Rubin,Home
711431,1638702000,1994,Khimki,1,2,1077,Arsenal Tula,Away
711432,1639238400,779,FC Rostov,1,4,1084,Ural,Away
711433,1639324800,621,Krasnodar,0,0,2011,Nizhny Novgorod,Draw
711434,1639220400,1079,Krylya Sovetov,2,0,1083,Rubin,Home
711435,1639229400,555,CSKA Moscow,2,0,1077,Arsenal Tula,Home
711436,1639306800,1088,Dinamo Moscow,1,1,596,Zenit Saint Petersburg,Draw
711437,1639324800,597,Lokomotiv Moscow,2,0,1078,FC UFA,Home
711438,1639315800,1085,Akhmat Grozny,4,1,1994,Khimki,Home
711439,1639411200,2012,PFC Sochi,3,0,558,Spartak Moscow,Home
711440,1646064000,596,Zenit Saint Petersburg,3,2,1083,Rubin,Home
711441,1645891200,558,Spartak Moscow,0,2,555,CSKA Moscow,Away
711442,1649260800,779,FC Rostov,1,0,1079,Krylya Sovetov,Home
711443,1651680000,621,Krasnodar,1,0,597,Lokomotiv Moscow,Home
711444,1645977600,1085,Akhmat Grozny,2,1,1078,FC UFA,Home
711445,1645882200,2012,PFC Sochi,2,0,1077,Arsenal Tula,Home
711446,1645873200,2011,Nizhny Novgorod,1,0,1084,Ural,Home
711447,1645873200,1994,Khimki,0,3,1088,Dinamo Moscow,Away
711448,1646659800,596,Zenit Saint Petersburg,2,0,1078,FC UFA,Home
711449,1646659800,779,FC Rostov,0,1,2012,PFC Sochi,Away
711450,1646650800,621,Krasnodar,2,1,1084,Ural,Home
711451,1646564400,1079,Krylya Sovetov,2,2,1077,Arsenal Tula,Draw
711452,1646496000,555,CSKA Moscow,1,0,2011,Nizhny Novgorod,Home
711453,1646582400,1088,Dinamo Moscow,0,2,558,Spartak Moscow,Away
711454,1646564400,597,Lokomotiv Moscow,3,2,1994,Khimki,Home
711455,1646668800,1085,Akhmat Grozny,1,2,1083,Rubin,Away
711456,1647187200,558,Spartak Moscow,1,2,621,Krasnodar,Away
711457,1647178200,1079,Krylya Sovetov,1,1,596,Zenit Saint Petersburg,Draw
711458,1647100800,597,Lokomotiv Moscow,1,2,555,CSKA Moscow,Away
711459,1647273600,1083,Rubin,1,2,779,FC Rostov,Away
711460,1647091800,1077,Arsenal Tula,1,4,1088,Dinamo Moscow,Away
711461,1647082800,1078,FC UFA,0,0,2011,Nizhny Novgorod,Draw
