fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name,result
711829,1648911600,2006,Baltika,0,1,2003,Spartak Moscow 2,Away
711830,1648904400,1993,Fakel Voronezh,0,0,6831,Urozhay,Draw
711831,1648890000,1081,TOM Tomsk,0,1,1089,Enisey,Away
711832,1648897200,1080,Orenburg,1,0,3985,Torpedo Moskva,Home
711833,1648900800,6786,Akron,1,0,2015,Krasnodar 2,Home
711834,1648902600,2001,FK Neftekhimik,1,1,6801,KAMAZ,Draw
711835,1648900800,2010,Rotor Volgograd,0,3,6833,Veles,Away
711836,1649246400,1089,Enisey,1,2,1080,Orenburg,Away
711837,1649260800,6831,Urozhay,2,2,1081,TOM Tomsk,Draw
711838,1649250000,2003,Spartak Moscow 2,2,0,1993,Fakel Voronezh,Home
711839,1649253600,6787,Alaniya Vladikavkaz,0,3,2006,Baltika,Away
711840,1649257200,3984,Tekstilshchik,1,2,6815,Metallurg Lipetsk,Away
711841,1649250000,6797,Dolgoprudny,2,1,2004,Volgar Astrakhan,Home
711842,1649257200,6801,KAMAZ,0,2,2010,Rotor Volgograd,Away
711843,1649246400,2015,Krasnodar 2,2,0,2001,FK Neftekhimik,Home
711844,1649260800,3985,Torpedo Moskva,0,0,6786,Akron,Draw
711845,1649260800,6833,Veles,1,2,1087,Ska-khabarovsk,Away
711846,1649584800,1089,Enisey,3,2,6786,Akron,Home
711847,1649595600,2004,Volgar Astrakhan,1,1,1087,Ska-khabarovsk,Draw
711848,1649592000,6815,Metallurg Lipetsk,0,0,6797,Dolgoprudny,Draw
711849,1649602800,2006,Baltika,3,0,3984,Tekstilshchik,Home
711850,1649595600,1993,Fakel Voronezh,2,1,6787,Alaniya Vladikavkaz,Home
711851,1649581200,1081,TOM Tomsk,1,0,2003,Spartak Moscow 2,Home
711852,1649588400,1080,Orenburg,1,3,6831,Urozhay,Away
711853,1649593800,2001,FK Neftekhimik,0,1,3985,Torpedo Moskva,Away
711854,1649595600,2010,Rotor Volgograd,1,2,2015,Krasnodar 2,Away
711855,1649592000,6801,KAMAZ,1,3,6833,Veles,Away
711856,1650099600,1089,Enisey,2,0,2001,FK Neftekhimik,Home
711857,1650124800,6831,Urozhay,2,0,6786,Akron,Home
711858,1650193200,2003,Spartak Moscow 2,2,3,1080,Orenburg,Away
711859,1650114000,6787,Alaniya Vladikavkaz,3,0,1081,TOM Tomsk,Home
711860,1650106800,3984,Tekstilshchik,0,5,1993,Fakel Voronezh,Away
711861,1650016800,6797,Dolgoprudny,0,2,2006,Baltika,Away
711862,1650085200,1087,Ska-khabarovsk,1,0,6815,Metallurg Lipetsk,Home
711863,1650110400,2015,Krasnodar 2,4,1,6801,KAMAZ,Home
711864,1650106800,3985,Torpedo Moskva,1,0,2010,Rotor Volgograd,Home
711865,1650106800,6833,Veles,0,2,2004,Volgar Astrakhan,Away
711866,1650718800,6815,Metallurg Lipetsk,1,0,2004,Volgar Astrakhan,Home
711867,1650726000,2006,Baltika,2,0,1087,Ska-khabarovsk,Home
711868,1650718800,1993,Fakel Voronezh,1,0,6797,Dolgoprudny,Home
711869,1650704400,1081,TOM Tomsk,1,0,3984,Tekstilshchik,Home
711870,1650801600,1080,Orenburg,0,0,6787,Alaniya Vladikavkaz,Draw
711871,1650715200,6786,Akron,0,1,2003,Spartak Moscow 2,Away
711872,1650711600,2001,FK Neftekhimik,0,3,6831,Urozhay,Away
711873,1650805200,2010,Rotor Volgograd,2,3,1089,Enisey,Away
711874,1650715200,6801,KAMAZ,0,0,3985,Torpedo Moskva,Draw
711875,1650726000,2015,Krasnodar 2,0,0,6833,Veles,Draw
711876,1651302000,1089,Enisey,0,0,6801,KAMAZ,Draw
711877,1651334400,6831,Urozhay,2,1,2010,Rotor Volgograd,Home
711878,1651323600,2003,Spartak Moscow 2,0,4,2001,FK Neftekhimik,Away
