fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
880929,1667052000,64,Hull City,0,1,67,Blackburn
880930,1667052000,1359,Luton,1,1,746,Sunderland
880931,1667052000,71,Norwich,3,1,75,Stoke City
880932,1667052000,59,Preston,2,1,70,Middlesbrough
880933,1667043000,60,West Brom,0,2,62,Sheffield Utd
880934,1667052000,61,Wigan,0,1,38,Watford
880935,1667332800,56,Bristol City,0,1,62,Sheffield Utd
880936,1667331900,1346,Coventry,1,0,67,Blackburn
880937,1667331900,64,Hull City,1,3,70,Middlesbrough
880938,1667331900,1359,Luton,0,0,53,Reading
880939,1667331900,59,Preston,1,0,76,Swansea
880940,1667332800,60,West Brom,1,0,1356,Blackpool
880941,1667418300,54,Birmingham,0,0,58,Millwall
880942,1667418300,44,Burnley,3,2,73,Rotherham
880943,1667418300,43,Cardiff,1,2,38,Watford
880944,1667418300,37,Huddersfield,0,2,746,Sunderland
880945,1667418300,71,Norwich,0,0,72,QPR
880946,1667418300,61,Wigan,0,1,75,Stoke City
880947,1667660400,67,Blackburn,1,0,37,Huddersfield
880948,1667660400,1356,Blackpool,0,1,1359,Luton
880949,1667660400,70,Middlesbrough,1,1,56,Bristol City
880950,1667660400,58,Millwall,0,0,64,Hull City
880951,1667660400,72,QPR,0,1,60,West Brom
880952,1667592000,53,Reading,1,2,59,Preston
880953,1667660400,73,Rotherham,1,2,71,Norwich
880954,1667651400,62,Sheffield Utd,5,2,44,Burnley
880955,1667660400,75,Stoke City,1,2,54,Birmingham
880956,1667660400,746,Sunderland,0,1,43,Cardiff
880957,1667660400,76,Swansea,2,2,61,Wigan
880958,1667660400,38,Watford,0,1,1346,Coventry
880959,1668196800,54,Birmingham,1,2,746,Sunderland
880960,1668265200,56,Bristol City,0,0,38,Watford
880961,1668342600,44,Burnley,3,0,67,Blackburn
880962,1668265200,43,Cardiff,0,1,62,Sheffield Utd
880963,1668265200,1346,Coventry,2,0,72,QPR
880964,1668265200,37,Huddersfield,0,0,76,Swansea
880965,1668265200,64,Hull City,1,2,53,Reading
880966,1668265200,1359,Luton,1,1,73,Rotherham
880967,1668265200,71,Norwich,1,2,70,Middlesbrough
880968,1668265200,59,Preston,2,4,58,Millwall
880969,1668265200,60,West Brom,2,0,75,Stoke City
880970,1668265200,61,Wigan,2,1,1356,Blackpool
880971,1670673600,67,Blackburn,1,4,59,Preston
880972,1670684400,1356,Blackpool,0,0,54,Birmingham
880973,1670684400,70,Middlesbrough,2,1,1359,Luton
880974,1670684400,58,Millwall,1,1,61,Wigan
880975,1670763600,72,QPR,0,3,44,Burnley
880976,1670680800,53,Reading,1,0,1346,Coventry
880977,1670675400,73,Rotherham,1,3,56,Bristol City
880978,1670684400,62,Sheffield Utd,1,0,37,Huddersfield
880979,1670684400,75,Stoke City,2,2,43,Cardiff
880980,1670875200,746,Sunderland,1,2,60,West Brom
880981,1670684400,76,Swansea,0,1,71,Norwich
880982,1670770800,38,Watford,0,0,64,Hull City
880983,1671220800,54,Birmingham,3,2,53,Reading
880984,1671289200,56,Bristol City,1,2,75,Stoke City
880985,1671289200,44,Burnley,3,1,70,Middlesbrough
880986,1671289200,43,Cardiff,1,1,1356,Blackpool
880987,1671289200,1346,Coventry,3,3,76,Swansea
880988,1671289200,37,Huddersfield,0,2,38,Watford
880989,1671289200,64,Hull City,1,1,746,Sunderland
880990,1677614400,1359,Luton,2,2,58,Millwall
880991,1671298200,71,Norwich,0,2,67,Blackburn
880992,1671289200,59,Preston,0,1,72,QPR
880993,1671289200,60,West Brom,3,0,73,Rotherham
880994,1671480000,61,Wigan,1,2,62,Sheffield Utd
880995,1672066800,56,Bristol City,0,2,60,West Brom
880996,1672171200,44,Burnley,3,0,54,Birmingham
880997,1672074900,43,Cardiff,0,0,72,QPR
880998,1672066800,64,Hull City,1,1,1356,Blackpool
880999,1672083900,1359,Luton,2,1,71,Norwich
881000,1672066800,70,Middlesbrough,4,1,61,Wigan
881001,1672066800,59,Preston,1,2,37,Huddersfield
881002,1672161300,53,Reading,2,1,76,Swansea
881003,1672066800,73,Rotherham,2,2,75,Stoke City
881004,1672066800,62,Sheffield Utd,3,1,1346,Coventry
