fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
873056,1677259800,158,Fortuna Dusseldorf,3,1,744,Eintracht Braunschweig
873057,1677414600,166,Hannover 96,1,2,179,FC Magdeburg
873058,1677259800,785,Karlsruher SC,1,0,177,Jahn Regensburg
873059,1677326400,745,FC Kaiserslautern,3,1,178,SpVgg Greuther Furth
873060,1678019400,178,SpVgg Greuther Furth,1,1,166,Hannover 96
873061,1677931200,175,Hamburger SV,3,0,171,FC Nurnberg
873062,1677958200,180,FC Heidenheim,1,0,181,SV Darmstadt 98
873063,1677864600,185,SC Paderborn 07,1,2,186,FC St. Pauli
873064,1678019400,1321,Hansa Rostock,0,2,785,Karlsruher SC
873065,1677931200,189,SV Sandhausen,1,1,191,Holstein Kiel
873066,1677931200,177,Jahn Regensburg,0,1,158,Fortuna Dusseldorf
873067,1677864600,179,FC Magdeburg,2,0,745,FC Kaiserslautern
873068,1678019400,744,Eintracht Braunschweig,3,3,188,Arminia Bielefeld
873069,1678536000,188,Arminia Bielefeld,3,1,181,SV Darmstadt 98
873070,1678536000,186,FC St. Pauli,2,1,178,SpVgg Greuther Furth
873071,1678469400,171,FC Nurnberg,2,0,744,Eintracht Braunschweig
873072,1678624200,191,Holstein Kiel,1,2,177,Jahn Regensburg
873073,1678563000,158,Fortuna Dusseldorf,1,1,180,FC Heidenheim
873074,1678624200,166,Hannover 96,1,1,1321,Hansa Rostock
873075,1678624200,785,Karlsruher SC,4,2,175,Hamburger SV
873076,1678536000,179,FC Magdeburg,0,0,185,SC Paderborn 07
873077,1678469400,745,FC Kaiserslautern,2,2,189,SV Sandhausen
873078,1679074200,188,Arminia Bielefeld,2,2,171,FC Nurnberg
873079,1679140800,178,SpVgg Greuther Furth,3,0,179,FC Magdeburg
873080,1679140800,175,Hamburger SV,0,0,191,Holstein Kiel
873081,1679167800,181,SV Darmstadt 98,2,0,745,FC Kaiserslautern
873082,1679074200,180,FC Heidenheim,5,2,785,Karlsruher SC
873083,1679229000,1321,Hansa Rostock,2,5,158,Fortuna Dusseldorf
873084,1679229000,189,SV Sandhausen,0,5,186,FC St. Pauli
